"#","RefDes","Value","Name"
"1","AA","","AD623ARZ-R7"
"2","AB","","AD623ARZ-R7"
"3","AC","","AD623ARZ-R7"
"4","AD","","AD623ARZ-R7"
"5","C1","0.1u","CAP_0805"
"6","C2","","CAP_0805"
"7","C3","","CAP_0805"
"8","C4","","CAP_0805"
"9","C5","3.2u","CAP_0805"
"10","C6","3.2u","CAP_0805"
"11","C7","3.2u","CAP_0805"
"12","C8","3.2u","CAP_0805"
"13","C9","3.2u","CAP_0805"
"14","C10","3.2u","CAP_0805"
"15","C11","3.2u","CAP_0805"
"16","C12","3.2u","CAP_0805"
"17","C13","3.2u","CAP_0805"
"18","C14","0.1u","CAP_0805"
"19","Caa","3.2u","CAP_0805"
"20","Cab","3.2u","CAP_0805"
"21","Cac","3.2u","CAP_0805"
"22","Cad","3.2u","CAP_0805"
"23","J1","","1-644456-0"
"24","J2","","1-644456-0"
"25","J3","","90131-0121"
"26","J4","","90131-0121"
"27","J5","","90131-0121"
"28","J6","","90131-0121"
"29","J7","","90131-0121"
"30","J8","","90131-0121"
"31","J9","","90131-0121"
"32","J10","","90131-0121"
"33","R1","1k","RES_0805"
"34","R2","1k","RES_0805"
"35","R3","1k","RES_0805"
"36","R4","1k","RES_0805"
"37","R5","5k","RES_0805"
"38","R6","5k","RES_0805"
"39","R7","5k","RES_0805"
"40","R8","5k","RES_0805"
"41","R9","5","RES_0805"
"42","R10","5","RES_0805"
"43","R11","5","RES_0805"
"44","R12","5","RES_0805"
"45","R13","5","RES_0805"
"46","U1","","LM324AD"
"47","U2","","MCP4651"
"48","U3","","AD5593RBRUZ"
"49","U4","","MCP4651"
